TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,Season
1610612746,Los Angeles Clippers,50,9,41,0.18,48.5,107.0,25.9,0.669,8.5,4.7,17.5,14.9,15.5,46.6,1,28,28,28,8,29,29,29,14,17,23,26,27,29,10,Los Angeles Clippers,1998-99
1610612747,Los Angeles Lakers,50,31,19,0.62,48.2,101.2,29.6,0.702,7.8,5.7,16.8,14.7,13.0,38.5,1,7,7,7,19,24,11,10,23,6,17,24,18,18,10,Los Angeles Lakers,1998-99
1610612748,Miami Heat,50,33,17,0.66,48.1,96.0,30.2,0.71,6.5,6.1,16.5,12.8,9.0,31.7,1,4,4,4,27,8,6,6,28,3,16,10,2,3,10,Miami Heat,1998-99
1610612749,Milwaukee Bucks,50,28,22,0.56,48.2,99.5,27.4,0.676,8.8,4.0,15.5,14.6,11.4,33.4,1,11,11,11,19,14,26,27,10,24,6,23,8,6,10,Milwaukee Bucks,1998-99
1610612750,Minnesota Timberwolves,50,25,25,0.5,48.1,98.2,27.8,0.702,8.5,5.4,14.1,13.0,12.8,36.1,1,17,17,17,27,10,24,12,13,10,2,12,16,13,10,Minnesota Timberwolves,1998-99
1610612751,New Jersey Nets,50,16,34,0.32,48.2,100.6,28.7,0.697,9.8,5.5,16.1,13.0,12.4,42.6,1,25,25,25,19,21,17,17,3,9,10,14,14,25,10,New Jersey Nets,1998-99
1610612752,New York Knicks,50,27,23,0.54,48.4,94.3,30.2,0.71,7.9,5.2,16.0,12.5,8.1,28.5,1,13,13,13,10,3,7,5,20,12,9,6,1,1,10,New York Knicks,1998-99
1610612753,Orlando Magic,50,33,17,0.66,48.2,95.3,28.9,0.708,9.9,4.3,17.3,12.3,13.9,39.2,1,4,4,4,19,6,16,7,2,21,21,5,25,21,10,Orlando Magic,1998-99
1610612755,Philadelphia 76ers,50,28,22,0.56,48.6,94.6,28.6,0.698,10.8,5.4,16.9,12.3,11.8,33.0,1,11,11,11,5,4,18,16,1,11,19,4,11,5,10,Philadelphia 76ers,1998-99
1610612756,Phoenix Suns,50,27,23,0.54,48.2,99.9,28.4,0.698,8.9,4.0,15.0,15.6,12.3,38.0,1,13,13,13,19,16,20,15,6,26,3,28,12,17,10,Phoenix Suns,1998-99
1610612757,Portland Trail Blazers,50,35,15,0.7,48.7,94.9,31.4,0.718,8.2,5.8,15.0,12.9,10.5,35.0,1,3,3,3,4,5,3,3,18,5,5,11,5,11,10,Portland Trail Blazers,1998-99
1610612758,Sacramento Kings,50,27,23,0.54,48.8,100.0,31.5,0.677,8.9,4.6,17.9,16.1,13.3,45.8,1,13,13,13,1,17,2,26,6,18,25,29,23,28,10,Sacramento Kings,1998-99
1610612759,San Antonio Spurs,50,37,13,0.74,48.3,92.1,31.7,0.695,8.4,7.0,16.2,14.0,11.5,34.6,1,1,1,1,13,1,1,19,15,1,14,21,10,9,10,San Antonio Spurs,1998-99
1610612760,Seattle SuperSonics,50,25,25,0.5,48.4,103.3,28.4,0.686,7.9,4.0,16.2,14.5,12.9,42.1,1,17,17,17,10,26,19,25,21,25,11,22,17,23,10,Seattle SuperSonics,1998-99
1610612761,Toronto Raptors,50,23,27,0.46,48.3,100.5,28.9,0.702,8.8,6.4,18.1,12.5,16.4,33.8,1,19,19,19,13,20,15,11,11,2,26,6,28,7,10,Toronto Raptors,1998-99
1610612762,Utah Jazz,50,37,13,0.74,48.7,95.5,30.2,0.704,8.0,5.5,16.9,13.0,9.8,34.8,1,1,1,1,2,7,8,9,19,7,18,13,3,10,10,Utah Jazz,1998-99
1610612763,Vancouver Grizzlies,50,8,42,0.16,48.7,105.1,27.2,0.669,8.4,4.0,19.4,15.1,17.6,43.6,1,29,29,29,2,27,27,28,16,27,29,27,29,26,10,Vancouver Grizzlies,1998-99
1610612764,Washington Wizards,50,18,32,0.36,48.2,101.0,28.1,0.695,7.9,3.9,16.2,12.6,13.2,36.9,1,24,24,24,19,23,22,20,21,28,12,9,20,14,10,Washington Wizards,1998-99
1610612737,Atlanta Hawks,82,28,54,0.341,48.4,104.8,31.3,0.71,6.1,5.6,17.7,13.8,17.0,42.1,1,25,25,25,7,25,9,17,29,9,20,14,27,21,10,Atlanta Hawks,1999-00
